gid,color,internode_length
KX001,1,9.285714
KX002,1,6.777778
KX004,1,7.630435
KX005,1,5.435897
KX006,1,9.744186
KX007,0,7.285714
KX008,0,10.43902
KX009,0,5.894737
KX010,1,9.848485
KX011,1,11.87879
KX013,NA,NA
KX014,1,11.20588
KX015,1,9.813953
KX016,1,8
KX017,1,7.827586
KX018,0,10.82609
KX019,0,5.868421
KX020,1,12.73913
KX022,1,11.71429
KX023,1,9.902439
KX024,1,10.94737
KX025,0,8.275862
KX026,1,11.8
KX027,1,8.857143
KX028,0,10.62857
KX030,1,6.666667
KX031,1,10.47619
KX032,1,10.10345
KX033,0,9.8
KX034,1,9.53125
KX035,0,9.266667
KX036,1,11.6129
KX037,1,8.170732
KX038,0,12.40741
KX039,1,9.545455
KX040,1,12.89744
KX041,1,7.114286
KX042,0,6.275
KX043,0,6.75
KX044,1,10.23404
KX045,1,10.22222
KX046,1,11.06061
KX047,1,9
KX048,NA,NA
KX049,1,12.56
KX050,1,10.0625
KX051,1,5.787879
KX052,0,8.741935
KX053,1,11.68
KX055,1,8.862745
KX056,1,9.486486
KX057,1,17.125
KX058,1,7.394737
KX059,1,8.173077
KX060,0,13.2
KX061,1,13.5
KX062,0,11.80645
KX064,1,5.567568
KX065,1,9.470588
KX067,1,8.947368
KX068,1,10.25
KX069,NA,NA
KX070,1,8.558824
KX071,0,10.175
KX072,NA,NA
KX073,0,5.37931
KX074,1,12.85714
KX075,1,6.8
KX077,0,11.31429
KX078,1,6.564103
KX079,1,9.714286
KX080,NA,NA
KX081,1,16.07407
KX082,1,9.567568
KX083,1,11.375
KX084,0,9.588235
KX085,1,9.583333
KX086,1,14.59259
KX087,0,9.821429
KX088,1,8.933333
KX089,0,9.948718
KX090,1,8.40625
KX091,1,6.434783
KX092,0,9.815789
KX093,1,11.26087
KX095,NA,NA
KX096,0,7.852941
KX097,1,6.833333
KX098,0,8.75
KX099,1,9.692308
KX100,1,14.3
KX101,1,7.315789
KX102,1,7.684211
KX103,1,9.068966
KX104,0,13.8
KX105,1,8.28125
KX106,1,9.869565
KX107,1,9.736842
KX108,0,10.33333
KX109,1,8.933333
KX110,0,6.465116
KXk123,0,NA
KXxushu18,1,NA
